,Description_number,Model,Condition,Description,screenshot_location
0,5,deepseek-v3,Neutral,a component that displays a product filter panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des5_wid1.png
1,12,deepseek-v3,Neutral,a component that allows users to create an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des12_wid1.png
2,13,deepseek-v3,Neutral,a component that allows users to sign in to an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des13_wid1.png
3,6,deepseek-v3,Neutral,a component that displays a individual product item,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des6_wid1.png
4,8,deepseek-v3,Neutral,a component that displays the shopping cart,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des8_wid1.png
5,9,deepseek-v3,Neutral,a component that displays shipping options and optional add-ons,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des9_wid1.png
6,3,deepseek-v3,Neutral,a component that displays a search panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des3_wid1.png
7,0,deepseek-v3,Neutral,a component that displays featured products,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des0_wid1.png
8,14,deepseek-v3,Neutral,a component that displays order tracking details,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des14_wid1.png
9,2,deepseek-v3,Neutral,a component that displays product category navigation,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des2_wid1.png
10,7,deepseek-v3,Neutral,a component that displays user ratings,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des7_wid1.png
11,10,deepseek-v3,Neutral,a component that allows users to sign up for a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des10_wid1.png
12,4,deepseek-v3,Neutral,a component that displays a list of product items,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des4_wid1.png
13,1,deepseek-v3,Neutral,a component that displays a banner with current deals,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des1_wid1.png
14,11,deepseek-v3,Neutral,a component that allows users to cancel a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/Neutral/des11_wid1.png
