,Description_number,Model,Condition,Description,screenshot_location
0,8,deepseek-v3,User-Centered-Design,a component that displays the shopping cart,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des8_wid1.png
1,2,deepseek-v3,User-Centered-Design,a component that displays product category navigation,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des2_wid1.png
2,4,deepseek-v3,User-Centered-Design,a component that displays a list of product items,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des4_wid1.png
3,5,deepseek-v3,User-Centered-Design,a component that displays a product filter panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des5_wid1.png
4,12,deepseek-v3,User-Centered-Design,a component that allows users to create an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des12_wid1.png
5,6,deepseek-v3,User-Centered-Design,a component that displays a individual product item,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des6_wid1.png
6,10,deepseek-v3,User-Centered-Design,a component that allows users to sign up for a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des10_wid1.png
7,1,deepseek-v3,User-Centered-Design,a component that displays a banner with current deals,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des1_wid1.png
8,13,deepseek-v3,User-Centered-Design,a component that allows users to sign in to an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des13_wid1.png
9,3,deepseek-v3,User-Centered-Design,a component that displays a search panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des3_wid1.png
10,9,deepseek-v3,User-Centered-Design,a component that displays shipping options and optional add-ons,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des9_wid1.png
11,11,deepseek-v3,User-Centered-Design,a component that allows users to cancel a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des11_wid1.png
12,0,deepseek-v3,User-Centered-Design,a component that displays featured products,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des0_wid1.png
13,7,deepseek-v3,User-Centered-Design,a component that displays user ratings,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des7_wid1.png
14,14,deepseek-v3,User-Centered-Design,a component that displays order tracking details,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/deepseek-v3/User-Centered-Design/des14_wid1.png
