,Description_number,Model,Condition,Description,screenshot_location
0,14,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays order tracking details,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des14_wid1.png
1,3,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays a search panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des3_wid1.png
2,1,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays a banner with current deals,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des1_wid1.png
3,13,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that allows users to sign in to an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des13_wid1.png
4,2,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays product category navigation,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des2_wid1.png
5,8,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays the shopping cart,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des8_wid1.png
6,10,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that allows users to sign up for a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des10_wid1.png
7,7,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays user ratings,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des7_wid1.png
8,11,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that allows users to cancel a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des11_wid1.png
9,0,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays featured products,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des0_wid1.png
10,6,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays a individual product item,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des6_wid1.png
11,12,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that allows users to create an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des12_wid1.png
12,5,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays a product filter panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des5_wid1.png
13,4,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays a list of product items,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des4_wid1.png
14,9,Gemini-2.5-Pro-Preview-05-06,Business-KPI,a component that displays shipping options and optional add-ons,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/Gemini-2.5-Pro-Preview-05-06/Business-KPI/des9_wid1.png
