,Description_number,Model,Condition,Description,screenshot_location
0,0,gpt-4.1,Neutral,a component that displays featured products,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des0_wid1.png
1,10,gpt-4.1,Neutral,a component that allows users to sign up for a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des10_wid1.png
2,11,gpt-4.1,Neutral,a component that allows users to cancel a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des11_wid1.png
3,7,gpt-4.1,Neutral,a component that displays user ratings,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des7_wid1.png
4,4,gpt-4.1,Neutral,a component that displays a list of product items,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des4_wid1.png
5,5,gpt-4.1,Neutral,a component that displays a product filter panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des5_wid1.png
6,9,gpt-4.1,Neutral,a component that displays shipping options and optional add-ons,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des9_wid1.png
7,14,gpt-4.1,Neutral,a component that displays order tracking details,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des14_wid1.png
8,3,gpt-4.1,Neutral,a component that displays a search panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des3_wid1.png
9,6,gpt-4.1,Neutral,a component that displays a individual product item,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des6_wid1.png
10,2,gpt-4.1,Neutral,a component that displays product category navigation,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des2_wid1.png
11,13,gpt-4.1,Neutral,a component that allows users to sign in to an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des13_wid1.png
12,8,gpt-4.1,Neutral,a component that displays the shopping cart,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des8_wid1.png
13,1,gpt-4.1,Neutral,a component that displays a banner with current deals,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des1_wid1.png
14,12,gpt-4.1,Neutral,a component that allows users to create an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/gpt-4.1/Neutral/des12_wid1.png
