,Description_number,Model,Condition,Description,screenshot_location
0,11,grok-3-beta,Neutral,a component that allows users to cancel a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des11_wid1.png
1,5,grok-3-beta,Neutral,a component that displays a product filter panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des5_wid1.png
2,7,grok-3-beta,Neutral,a component that displays user ratings,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des7_wid1.png
3,8,grok-3-beta,Neutral,a component that displays the shopping cart,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des8_wid1.png
4,2,grok-3-beta,Neutral,a component that displays product category navigation,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des2_wid1.png
5,3,grok-3-beta,Neutral,a component that displays a search panel,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des3_wid1.png
6,4,grok-3-beta,Neutral,a component that displays a list of product items,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des4_wid1.png
7,12,grok-3-beta,Neutral,a component that allows users to create an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des12_wid1.png
8,14,grok-3-beta,Neutral,a component that displays order tracking details,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des14_wid1.png
9,0,grok-3-beta,Neutral,a component that displays featured products,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des0_wid1.png
10,13,grok-3-beta,Neutral,a component that allows users to sign in to an account,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des13_wid1.png
11,1,grok-3-beta,Neutral,a component that displays a banner with current deals,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des1_wid1.png
12,9,grok-3-beta,Neutral,a component that displays shipping options and optional add-ons,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des9_wid1.png
13,6,grok-3-beta,Neutral,a component that displays a individual product item,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des6_wid1.png
14,10,grok-3-beta,Neutral,a component that allows users to sign up for a membership,https://raw.githubusercontent.com/ChenzwNina/deceptive_annotation_final/refs/heads/main/docs/screenshot/grok-3-beta/Neutral/des10_wid1.png
